engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,1,03,base,q001,1,8.727036895987112,200
fuseki,1,03,base,q002,1,9.18495416798396,200
fuseki,1,03,base,q003,1,9.352197926025838,200
fuseki,1,03,base,q004,1,8.67945180600509,200
fuseki,1,03,base,q005,1,9.82274893898284,200
fuseki,1,03,base,q006,1,8.759527980990242,200
fuseki,1,03,base,q007,1,9.34914713096805,200
fuseki,1,03,base,q008,1,9.342833689996041,200
fuseki,1,03,base,q009,1,9.28389561898075,200
fuseki,1,03,base,q010,1,8.70631110901013,200
fuseki,1,03,base,q001,2,9.167774363944773,200
fuseki,1,03,base,q002,2,8.536513458006084,200
fuseki,1,03,base,q003,2,8.711091590987053,200
fuseki,1,03,base,q004,2,8.908561655029189,200
fuseki,1,03,base,q005,2,8.650939373997971,200
fuseki,1,03,base,q006,2,8.62798930000281,200
fuseki,1,03,base,q007,2,8.9850355249946,200
fuseki,1,03,base,q008,2,8.797993601998314,200
fuseki,1,03,base,q009,2,8.60675406100927,200
fuseki,1,03,base,q010,2,8.454761194996536,200
fuseki,1,03,base,q001,3,8.434309343982022,200
fuseki,1,03,base,q002,3,8.405956227972638,200
fuseki,1,03,base,q003,3,8.94656395795755,200
fuseki,1,03,base,q004,3,8.72208254499128,200
fuseki,1,03,base,q005,3,8.701169233012479,200
fuseki,1,03,base,q006,3,8.486175445024855,200
fuseki,1,03,base,q007,3,8.632964382995851,200
fuseki,1,03,base,q008,3,8.46393192699179,200
fuseki,1,03,base,q009,3,8.861251676979009,200
fuseki,1,03,base,q010,3,8.586373073980212,200
fuseki,1,03,base,q001,4,8.470041131018661,200
fuseki,1,03,base,q002,4,8.432875513040926,200
fuseki,1,03,base,q003,4,8.56420426897239,200
fuseki,1,03,base,q004,4,8.415781155985314,200
fuseki,1,03,base,q005,4,8.528179606015328,200
fuseki,1,03,base,q006,4,8.491286120959558,200
fuseki,1,03,base,q007,4,8.67683739203494,200
fuseki,1,03,base,q008,4,8.499301536008716,200
fuseki,1,03,base,q009,4,9.218849867989775,200
fuseki,1,03,base,q010,4,8.42872297699796,200
fuseki,1,03,base,q001,5,8.399687201017514,200
fuseki,1,03,base,q002,5,8.393133982957806,200
fuseki,1,03,base,q003,5,8.636375321017113,200
fuseki,1,03,base,q004,5,8.357652364007663,200
fuseki,1,03,base,q005,5,8.64315160899423,200
fuseki,1,03,base,q006,5,8.5413824620191,200
fuseki,1,03,base,q007,5,8.604895083000883,200
fuseki,1,03,base,q008,5,8.488756474980619,200
fuseki,1,03,base,q009,5,8.557559264008887,200
fuseki,1,03,base,q010,5,8.469545502972323,200
