engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,1,03,construct_base,q001,1,9.26570400496712,200
fuseki,1,03,construct_base,q002,1,10.021468701015692,200
fuseki,1,03,construct_base,q003,1,10.645718381972983,200
fuseki,1,03,construct_base,q004,1,9.550393483019434,200
fuseki,1,03,construct_base,q005,1,8.712536678998731,200
fuseki,1,03,construct_base,q006,1,8.503005000005942,200
fuseki,1,03,construct_base,q007,1,9.688138893048745,200
fuseki,1,03,construct_base,q008,1,8.459490159002598,200
fuseki,1,03,construct_base,q009,1,8.592075589986052,200
fuseki,1,03,construct_base,q010,1,8.71256314998027,200
fuseki,1,03,construct_base,q001,2,8.29449180897791,200
fuseki,1,03,construct_base,q002,2,9.430954039969947,200
fuseki,1,03,construct_base,q003,2,8.518986851966474,200
fuseki,1,03,construct_base,q004,2,8.88581107702339,200
fuseki,1,03,construct_base,q005,2,8.455822799995076,200
fuseki,1,03,construct_base,q006,2,8.674406556994654,200
fuseki,1,03,construct_base,q007,2,8.388380440999754,200
fuseki,1,03,construct_base,q008,2,8.170476008031983,200
fuseki,1,03,construct_base,q009,2,8.21461939602159,200
fuseki,1,03,construct_base,q010,2,8.121588371985126,200
fuseki,1,03,construct_base,q001,3,8.19250602700049,200
fuseki,1,03,construct_base,q002,3,8.431926981022116,200
fuseki,1,03,construct_base,q003,3,8.608991326997057,200
fuseki,1,03,construct_base,q004,3,8.206635023001581,200
fuseki,1,03,construct_base,q005,3,8.5110670819995,200
fuseki,1,03,construct_base,q006,3,8.469333342975006,200
fuseki,1,03,construct_base,q007,3,8.38421719201142,200
fuseki,1,03,construct_base,q008,3,8.176976500020828,200
fuseki,1,03,construct_base,q009,3,8.470347904018126,200
fuseki,1,03,construct_base,q010,3,8.904809682979248,200
fuseki,1,03,construct_base,q001,4,8.032328171015251,200
fuseki,1,03,construct_base,q002,4,8.167144092032686,200
fuseki,1,03,construct_base,q003,4,8.24676031601848,200
fuseki,1,03,construct_base,q004,4,8.254401480953675,200
fuseki,1,03,construct_base,q005,4,8.39177899301285,200
fuseki,1,03,construct_base,q006,4,8.252314554993063,200
fuseki,1,03,construct_base,q007,4,8.234978154010605,200
fuseki,1,03,construct_base,q008,4,8.970619459985755,200
fuseki,1,03,construct_base,q009,4,8.397590628999751,200
fuseki,1,03,construct_base,q010,4,8.031978337967303,200
fuseki,1,03,construct_base,q001,5,8.124323305033613,200
fuseki,1,03,construct_base,q002,5,8.761472830025014,200
fuseki,1,03,construct_base,q003,5,8.694181026017759,200
fuseki,1,03,construct_base,q004,5,8.321564915007912,200
fuseki,1,03,construct_base,q005,5,8.355751986033283,200
fuseki,1,03,construct_base,q006,5,8.20921640197048,200
fuseki,1,03,construct_base,q007,5,8.181467610993423,200
fuseki,1,03,construct_base,q008,5,8.072798116016202,200
fuseki,1,03,construct_base,q009,5,8.26149023603648,200
fuseki,1,03,construct_base,q010,5,8.058694827952422,200
