engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,1,05,prov_naryrel_non_aggregate,q001,1,6.923460207006428,200
fuseki,1,05,prov_naryrel_non_aggregate,q002,1,6.24335482501192,200
fuseki,1,05,prov_naryrel_non_aggregate,q003,1,5.969078664958943,200
fuseki,1,05,prov_naryrel_non_aggregate,q004,1,5.500714057998266,200
fuseki,1,05,prov_naryrel_non_aggregate,q005,1,5.887425956025254,200
fuseki,1,05,prov_naryrel_non_aggregate,q006,1,5.157031944021583,200
fuseki,1,05,prov_naryrel_non_aggregate,q007,1,5.262767495994922,200
fuseki,1,05,prov_naryrel_non_aggregate,q008,1,5.435136357031297,200
fuseki,1,05,prov_naryrel_non_aggregate,q009,1,5.048136641969904,200
fuseki,1,05,prov_naryrel_non_aggregate,q010,1,5.076493691012729,200
fuseki,1,05,prov_naryrel_non_aggregate,q001,2,5.445619582023937,200
fuseki,1,05,prov_naryrel_non_aggregate,q002,2,5.361034417001065,200
fuseki,1,05,prov_naryrel_non_aggregate,q003,2,5.31913831399288,200
fuseki,1,05,prov_naryrel_non_aggregate,q004,2,5.112648313050158,200
fuseki,1,05,prov_naryrel_non_aggregate,q005,2,4.987804009986576,200
fuseki,1,05,prov_naryrel_non_aggregate,q006,2,5.005910799023695,200
fuseki,1,05,prov_naryrel_non_aggregate,q007,2,5.492517870967276,200
fuseki,1,05,prov_naryrel_non_aggregate,q008,2,5.316806859977078,200
fuseki,1,05,prov_naryrel_non_aggregate,q009,2,4.747581428964622,200
fuseki,1,05,prov_naryrel_non_aggregate,q010,2,4.760015549021773,200
fuseki,1,05,prov_naryrel_non_aggregate,q001,3,5.109862210985739,200
fuseki,1,05,prov_naryrel_non_aggregate,q002,3,5.150096841040067,200
fuseki,1,05,prov_naryrel_non_aggregate,q003,3,5.1832797059905715,200
fuseki,1,05,prov_naryrel_non_aggregate,q004,3,5.1169646750204265,200
fuseki,1,05,prov_naryrel_non_aggregate,q005,3,6.061190765001811,200
fuseki,1,05,prov_naryrel_non_aggregate,q006,3,5.088919377012644,200
fuseki,1,05,prov_naryrel_non_aggregate,q007,3,5.021607698989101,200
fuseki,1,05,prov_naryrel_non_aggregate,q008,3,5.0444362930138595,200
fuseki,1,05,prov_naryrel_non_aggregate,q009,3,4.771956761018373,200
fuseki,1,05,prov_naryrel_non_aggregate,q010,3,5.318274652003311,200
fuseki,1,05,prov_naryrel_non_aggregate,q001,4,5.944701413973235,200
fuseki,1,05,prov_naryrel_non_aggregate,q002,4,5.2855632019927725,200
fuseki,1,05,prov_naryrel_non_aggregate,q003,4,5.184419021010399,200
fuseki,1,05,prov_naryrel_non_aggregate,q004,4,5.072829835000448,200
fuseki,1,05,prov_naryrel_non_aggregate,q005,4,4.966127090039663,200
fuseki,1,05,prov_naryrel_non_aggregate,q006,4,4.98769738804549,200
fuseki,1,05,prov_naryrel_non_aggregate,q007,4,5.020179983985145,200
fuseki,1,05,prov_naryrel_non_aggregate,q008,4,5.024433215032332,200
fuseki,1,05,prov_naryrel_non_aggregate,q009,4,4.862845103954896,200
fuseki,1,05,prov_naryrel_non_aggregate,q010,4,4.792878837033641,200
fuseki,1,05,prov_naryrel_non_aggregate,q001,5,5.086053917999379,200
fuseki,1,05,prov_naryrel_non_aggregate,q002,5,5.390443062991835,200
fuseki,1,05,prov_naryrel_non_aggregate,q003,5,5.7571047660312615,200
fuseki,1,05,prov_naryrel_non_aggregate,q004,5,5.210296448960435,200
fuseki,1,05,prov_naryrel_non_aggregate,q005,5,4.959610280988272,200
fuseki,1,05,prov_naryrel_non_aggregate,q006,5,4.910860234987922,200
fuseki,1,05,prov_naryrel_non_aggregate,q007,5,4.934849198034499,200
fuseki,1,05,prov_naryrel_non_aggregate,q008,5,5.01116762298625,200
fuseki,1,05,prov_naryrel_non_aggregate,q009,5,4.8201966769993305,200
fuseki,1,05,prov_naryrel_non_aggregate,q010,5,4.859536282951012,200
