engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,10,03,construct_prov_naryrel_non_aggregate,q001,1,132.03032618603902,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q002,1,133.79378709895536,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q003,1,131.2960397679708,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q004,1,130.48823809699388,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q005,1,136.96049989399035,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q006,1,134.7791501019965,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q007,1,132.5808356369962,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q008,1,133.46842356398702,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q009,1,127.26564613101073,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q010,1,133.71343325002817,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q001,2,121.75310106499819,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q002,2,131.2416352069704,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q003,2,126.0213456270285,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q004,2,131.0663029559655,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q005,2,128.26554832200054,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q006,2,122.07942411198746,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q007,2,132.7969521060004,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q008,2,123.85342685697833,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q009,2,123.40432001801673,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q010,2,132.200588599022,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q001,3,120.54163241601782,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q002,3,121.0431676270091,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q003,3,121.51580762898084,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q004,3,118.48721947200829,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q005,3,122.6124608470127,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q006,3,123.50076805398567,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q007,3,131.75345686502988,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q008,3,123.80694074201165,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q009,3,132.14434714097297,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q010,3,122.80710282700602,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q001,4,128.7766406320152,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q002,4,127.92927841900382,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q003,4,132.3198292059824,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q004,4,123.30069837003248,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q005,4,121.5549397370196,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q006,4,120.47143429500284,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q007,4,120.44439048401546,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q008,4,118.67707235098351,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q009,4,121.57450474897632,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q010,4,118.65818981302436,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q001,5,113.45053006900707,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q002,5,119.40240361203905,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q003,5,118.57228823198238,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q004,5,130.88212675403338,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q005,5,129.95568326901412,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q006,5,123.41615548700793,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q007,5,122.22478736902121,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q008,5,117.233708003012,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q009,5,120.2808459129883,200
fuseki,10,03,construct_prov_naryrel_non_aggregate,q010,5,118.89839446096448,200
