engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,10,03,prov_naryrel,q001,1,129.25508600799367,200
fuseki,10,03,prov_naryrel,q002,1,128.51374461402884,200
fuseki,10,03,prov_naryrel,q003,1,119.12525318999542,200
fuseki,10,03,prov_naryrel,q004,1,131.2898229350103,200
fuseki,10,03,prov_naryrel,q005,1,120.87499509798363,200
fuseki,10,03,prov_naryrel,q006,1,116.65114142699167,200
fuseki,10,03,prov_naryrel,q007,1,116.67466715001501,200
fuseki,10,03,prov_naryrel,q008,1,113.7974148140056,200
fuseki,10,03,prov_naryrel,q009,1,116.66226881102193,200
fuseki,10,03,prov_naryrel,q010,1,114.39121260098182,200
fuseki,10,03,prov_naryrel,q001,2,110.46749580500182,200
fuseki,10,03,prov_naryrel,q002,2,116.14820957300253,200
fuseki,10,03,prov_naryrel,q003,2,114.69684084999608,200
fuseki,10,03,prov_naryrel,q004,2,127.36513141397154,200
fuseki,10,03,prov_naryrel,q005,2,127.54606839601183,200
fuseki,10,03,prov_naryrel,q006,2,122.42681301297853,200
fuseki,10,03,prov_naryrel,q007,2,119.37426265300019,200
fuseki,10,03,prov_naryrel,q008,2,114.9351988430135,200
fuseki,10,03,prov_naryrel,q009,2,125.0411533289589,200
fuseki,10,03,prov_naryrel,q010,2,115.91434262698749,200
fuseki,10,03,prov_naryrel,q001,3,117.3096197579871,200
fuseki,10,03,prov_naryrel,q002,3,116.11360903905006,200
fuseki,10,03,prov_naryrel,q003,3,113.70433258399135,200
fuseki,10,03,prov_naryrel,q004,3,111.04180437501054,200
fuseki,10,03,prov_naryrel,q005,3,115.17571334197419,200
fuseki,10,03,prov_naryrel,q006,3,110.73395884805359,200
fuseki,10,03,prov_naryrel,q007,3,121.30118855100591,200
fuseki,10,03,prov_naryrel,q008,3,117.77579260303173,200
fuseki,10,03,prov_naryrel,q009,3,112.72998120205011,200
fuseki,10,03,prov_naryrel,q010,3,115.1416273220093,200
fuseki,10,03,prov_naryrel,q001,4,109.1020096729626,200
fuseki,10,03,prov_naryrel,q002,4,112.37737960898085,200
fuseki,10,03,prov_naryrel,q003,4,114.54641696502222,200
fuseki,10,03,prov_naryrel,q004,4,119.01424690097338,200
fuseki,10,03,prov_naryrel,q005,4,114.99934431404108,200
fuseki,10,03,prov_naryrel,q006,4,112.58003074099543,200
fuseki,10,03,prov_naryrel,q007,4,115.44222482002806,200
fuseki,10,03,prov_naryrel,q008,4,109.24410159001127,200
fuseki,10,03,prov_naryrel,q009,4,111.88443037396064,200
fuseki,10,03,prov_naryrel,q010,4,112.3670358399977,200
fuseki,10,03,prov_naryrel,q001,5,122.00613416801207,200
fuseki,10,03,prov_naryrel,q002,5,125.1129003969836,200
fuseki,10,03,prov_naryrel,q003,5,115.9126465410227,200
fuseki,10,03,prov_naryrel,q004,5,112.36136790300952,200
fuseki,10,03,prov_naryrel,q005,5,112.08611526002642,200
fuseki,10,03,prov_naryrel,q006,5,110.14143130200682,200
fuseki,10,03,prov_naryrel,q007,5,112.34706694196211,200
fuseki,10,03,prov_naryrel,q008,5,112.7941453870153,200
fuseki,10,03,prov_naryrel,q009,5,120.097155312018,200
fuseki,10,03,prov_naryrel,q010,5,110.11393243999919,200
