engine,scale_factor,template,mode,query_id,repetition,time,status
fuseki,1.78,06,base,q001,1,55.352004176937044,200
fuseki,1.78,06,base,q002,1,59.72361245891079,200
fuseki,1.78,06,base,q003,1,55.724885492934845,200
fuseki,1.78,06,base,q004,1,52.97936557501089,200
fuseki,1.78,06,base,q005,1,51.85918833303731,200
fuseki,1.78,06,base,q006,1,53.431781938066706,200
fuseki,1.78,06,base,q007,1,51.09425877209287,200
fuseki,1.78,06,base,q008,1,52.42405227897689,200
fuseki,1.78,06,base,q009,1,51.54418522003107,200
fuseki,1.78,06,base,q010,1,49.89237463893369,200
fuseki,1.78,06,base,q001,2,51.64788795995992,200
fuseki,1.78,06,base,q002,2,56.067431607982144,200
fuseki,1.78,06,base,q003,2,54.025082329055294,200
fuseki,1.78,06,base,q004,2,51.43808271898888,200
fuseki,1.78,06,base,q005,2,57.93304578703828,200
fuseki,1.78,06,base,q006,2,52.79565763100982,200
fuseki,1.78,06,base,q007,2,51.14960962207988,200
fuseki,1.78,06,base,q008,2,51.75468356104102,200
fuseki,1.78,06,base,q009,2,52.227232399978675,200
fuseki,1.78,06,base,q010,2,50.41612570092548,200
fuseki,1.78,06,base,q001,3,50.8901367560029,200
fuseki,1.78,06,base,q002,3,53.205319570959546,200
fuseki,1.78,06,base,q003,3,53.60141835489776,200
fuseki,1.78,06,base,q004,3,50.75729751994368,200
fuseki,1.78,06,base,q005,3,52.1170071689412,200
fuseki,1.78,06,base,q006,3,52.10101273609325,200
fuseki,1.78,06,base,q007,3,50.42571920098271,200
fuseki,1.78,06,base,q008,3,53.40550521505065,200
fuseki,1.78,06,base,q009,3,51.88638484792318,200
fuseki,1.78,06,base,q010,3,48.82049525692128,200
fuseki,1.78,06,base,q001,4,51.162676885025576,200
fuseki,1.78,06,base,q002,4,52.61566240095999,200
fuseki,1.78,06,base,q003,4,52.852603990002535,200
fuseki,1.78,06,base,q004,4,50.72704732604325,200
fuseki,1.78,06,base,q005,4,51.577960669994354,200
fuseki,1.78,06,base,q006,4,52.239899912965484,200
fuseki,1.78,06,base,q007,4,50.26586546492763,200
fuseki,1.78,06,base,q008,4,51.2969801829895,200
fuseki,1.78,06,base,q009,4,52.783270479994826,200
fuseki,1.78,06,base,q010,4,49.6867265769979,200
fuseki,1.78,06,base,q001,5,51.05658420303371,200
fuseki,1.78,06,base,q002,5,51.96922207600437,200
fuseki,1.78,06,base,q003,5,52.969772692071274,200
fuseki,1.78,06,base,q004,5,50.607985405949876,200
fuseki,1.78,06,base,q005,5,50.7934135600226,200
fuseki,1.78,06,base,q006,5,52.868040826986544,200
fuseki,1.78,06,base,q007,5,49.547161594964564,200
fuseki,1.78,06,base,q008,5,50.883718221099116,200
fuseki,1.78,06,base,q009,5,51.62628418090753,200
fuseki,1.78,06,base,q010,5,48.55846788198687,200
