engine,scale_factor,template,mode,query_id,repetition,time,status
virtuoso,0.01,14,base,q001,1,0.01633080799365416,200
virtuoso,0.01,14,base,q002,1,0.01582084599067457,200
virtuoso,0.01,14,base,q003,1,0.016681179986335337,200
virtuoso,0.01,14,base,q004,1,0.017748103011399508,200
virtuoso,0.01,14,base,q005,1,0.016701237007509917,200
virtuoso,0.01,14,base,q006,1,0.017077116004657,200
virtuoso,0.01,14,base,q007,1,0.01705509499879554,200
virtuoso,0.01,14,base,q008,1,0.016404066991526634,200
virtuoso,0.01,14,base,q009,1,0.01671643601730466,200
virtuoso,0.01,14,base,q010,1,0.016397344006691128,200
virtuoso,0.01,14,base,q001,2,0.016909972007852048,200
virtuoso,0.01,14,base,q002,2,0.01643291098298505,200
virtuoso,0.01,14,base,q003,2,0.016851571010192856,200
virtuoso,0.01,14,base,q004,2,0.017314725002506748,200
virtuoso,0.01,14,base,q005,2,0.017029816983267665,200
virtuoso,0.01,14,base,q006,2,0.016958041989710182,200
virtuoso,0.01,14,base,q007,2,0.016766019019996747,200
virtuoso,0.01,14,base,q008,2,0.01578162200166844,200
virtuoso,0.01,14,base,q009,2,0.016428261995315552,200
virtuoso,0.01,14,base,q010,2,0.016389689000789076,200
virtuoso,0.01,14,base,q001,3,0.016645102004986256,200
virtuoso,0.01,14,base,q002,3,0.016819751006551087,200
virtuoso,0.01,14,base,q003,3,0.017347296001389623,200
virtuoso,0.01,14,base,q004,3,0.016751230985391885,200
virtuoso,0.01,14,base,q005,3,0.016730562987504527,200
virtuoso,0.01,14,base,q006,3,0.016544462007004768,200
virtuoso,0.01,14,base,q007,3,0.016529222979443148,200
virtuoso,0.01,14,base,q008,3,0.015829632990062237,200
virtuoso,0.01,14,base,q009,3,0.015954178001265973,200
virtuoso,0.01,14,base,q010,3,0.016276976006338373,200
virtuoso,0.01,14,base,q001,4,0.016407441988121718,200
virtuoso,0.01,14,base,q002,4,0.015785077994223684,200
virtuoso,0.01,14,base,q003,4,0.017306520021520555,200
virtuoso,0.01,14,base,q004,4,0.01738363498589024,200
virtuoso,0.01,14,base,q005,4,0.016293277993099764,200
virtuoso,0.01,14,base,q006,4,0.016833347006468102,200
virtuoso,0.01,14,base,q007,4,0.016763474006438628,200
virtuoso,0.01,14,base,q008,4,0.016246690007392317,200
virtuoso,0.01,14,base,q009,4,0.01623660998302512,200
virtuoso,0.01,14,base,q010,4,0.01592821898520924,200
virtuoso,0.01,14,base,q001,5,0.016307023004628718,200
virtuoso,0.01,14,base,q002,5,0.01583418098744005,200
virtuoso,0.01,14,base,q003,5,0.016925781004829332,200
virtuoso,0.01,14,base,q004,5,0.017080812976928428,200
virtuoso,0.01,14,base,q005,5,0.017131961008999497,200
virtuoso,0.01,14,base,q006,5,0.01616510600433685,200
virtuoso,0.01,14,base,q007,5,0.016524383972864598,200
virtuoso,0.01,14,base,q008,5,0.016029028978664428,200
virtuoso,0.01,14,base,q009,5,0.01631138101220131,200
virtuoso,0.01,14,base,q010,5,0.016472476010676473,200
