engine,scale_factor,template,mode,query_id,repetition,time,status
virtuoso,1,03,prov_naryrel,q001,1,2.678625389933586,200
virtuoso,1,03,prov_naryrel,q002,1,2.991197703871876,200
virtuoso,1,03,prov_naryrel,q003,1,2.760627440875396,200
virtuoso,1,03,prov_naryrel,q004,1,2.929851182969287,200
virtuoso,1,03,prov_naryrel,q005,1,2.7488901808392256,200
virtuoso,1,03,prov_naryrel,q006,1,2.7041949739214033,200
virtuoso,1,03,prov_naryrel,q007,1,2.7543972542043775,200
virtuoso,1,03,prov_naryrel,q008,1,2.7280222000554204,200
virtuoso,1,03,prov_naryrel,q009,1,2.6784511911682785,200
virtuoso,1,03,prov_naryrel,q010,1,2.733743676217273,200
virtuoso,1,03,prov_naryrel,q001,2,2.6966274129226804,200
virtuoso,1,03,prov_naryrel,q002,2,2.9559328539762646,200
virtuoso,1,03,prov_naryrel,q003,2,2.744661280885339,200
virtuoso,1,03,prov_naryrel,q004,2,2.9781222590245306,200
virtuoso,1,03,prov_naryrel,q005,2,2.8038418928626925,200
virtuoso,1,03,prov_naryrel,q006,2,2.6904962630942464,200
virtuoso,1,03,prov_naryrel,q007,2,2.698282196186483,200
virtuoso,1,03,prov_naryrel,q008,2,2.6878073480911553,200
virtuoso,1,03,prov_naryrel,q009,2,2.67006709985435,200
virtuoso,1,03,prov_naryrel,q010,2,2.6216811169870198,200
virtuoso,1,03,prov_naryrel,q001,3,2.6486673848703504,200
virtuoso,1,03,prov_naryrel,q002,3,2.9595673128496855,200
virtuoso,1,03,prov_naryrel,q003,3,2.7406698579434305,200
virtuoso,1,03,prov_naryrel,q004,3,2.9317489040549845,200
virtuoso,1,03,prov_naryrel,q005,3,2.7100603140424937,200
virtuoso,1,03,prov_naryrel,q006,3,2.6597289298661053,200
virtuoso,1,03,prov_naryrel,q007,3,2.6936543427873403,200
virtuoso,1,03,prov_naryrel,q008,3,2.6640892589930445,200
virtuoso,1,03,prov_naryrel,q009,3,2.663870946969837,200
virtuoso,1,03,prov_naryrel,q010,3,2.6277347810100764,200
virtuoso,1,03,prov_naryrel,q001,4,2.668787134811282,200
virtuoso,1,03,prov_naryrel,q002,4,2.897655684966594,200
virtuoso,1,03,prov_naryrel,q003,4,2.719478617189452,200
virtuoso,1,03,prov_naryrel,q004,4,2.967558773001656,200
virtuoso,1,03,prov_naryrel,q005,4,2.6958899120800197,200
virtuoso,1,03,prov_naryrel,q006,4,2.6720509831793606,200
virtuoso,1,03,prov_naryrel,q007,4,2.69624594389461,200
virtuoso,1,03,prov_naryrel,q008,4,2.6744305540341884,200
virtuoso,1,03,prov_naryrel,q009,4,2.6193513011094183,200
virtuoso,1,03,prov_naryrel,q010,4,2.6317862579599023,200
virtuoso,1,03,prov_naryrel,q001,5,2.6399139259010553,200
virtuoso,1,03,prov_naryrel,q002,5,2.909475893015042,200
virtuoso,1,03,prov_naryrel,q003,5,2.703225826146081,200
virtuoso,1,03,prov_naryrel,q004,5,2.916108048055321,200
virtuoso,1,03,prov_naryrel,q005,5,2.712745010154322,200
virtuoso,1,03,prov_naryrel,q006,5,2.65311693190597,200
virtuoso,1,03,prov_naryrel,q007,5,2.711195094976574,200
virtuoso,1,03,prov_naryrel,q008,5,2.687064576894045,200
virtuoso,1,03,prov_naryrel,q009,5,2.6253597799222916,200
virtuoso,1,03,prov_naryrel,q010,5,2.6243164110928774,200
