engine,scale_factor,template,mode,query_id,repetition,time,status
virtuoso,1,05,construct_base,q001,1,0.09664665814489126,200
virtuoso,1,05,construct_base,q002,1,0.09837492904625833,200
virtuoso,1,05,construct_base,q003,1,0.094827193999663,200
virtuoso,1,05,construct_base,q004,1,0.09223719593137503,200
virtuoso,1,05,construct_base,q005,1,0.09993947204202414,200
virtuoso,1,05,construct_base,q006,1,0.09469791082665324,200
virtuoso,1,05,construct_base,q007,1,0.09395846398547292,200
virtuoso,1,05,construct_base,q008,1,0.09533559414558113,200
virtuoso,1,05,construct_base,q009,1,0.09089022385887802,200
virtuoso,1,05,construct_base,q010,1,0.0938927810639143,200
virtuoso,1,05,construct_base,q001,2,0.09279741300269961,200
virtuoso,1,05,construct_base,q002,2,0.09205421106889844,200
virtuoso,1,05,construct_base,q003,2,0.09735607705079019,200
virtuoso,1,05,construct_base,q004,2,0.09706070902757347,200
virtuoso,1,05,construct_base,q005,2,0.09301301999948919,200
virtuoso,1,05,construct_base,q006,2,0.09489360987208784,200
virtuoso,1,05,construct_base,q007,2,0.09366158512420952,200
virtuoso,1,05,construct_base,q008,2,0.08894236898049712,200
virtuoso,1,05,construct_base,q009,2,0.09200184210203588,200
virtuoso,1,05,construct_base,q010,2,0.09353048913180828,200
virtuoso,1,05,construct_base,q001,3,0.09093963820487261,200
virtuoso,1,05,construct_base,q002,3,0.09820319502614439,200
virtuoso,1,05,construct_base,q003,3,0.09538116003386676,200
virtuoso,1,05,construct_base,q004,3,0.09655705792829394,200
virtuoso,1,05,construct_base,q005,3,0.0914768809452653,200
virtuoso,1,05,construct_base,q006,3,0.0970949640031904,200
virtuoso,1,05,construct_base,q007,3,0.09811816504225135,200
virtuoso,1,05,construct_base,q008,3,0.09588712407276034,200
virtuoso,1,05,construct_base,q009,3,0.09257352189160883,200
virtuoso,1,05,construct_base,q010,3,0.09565085801295936,200
virtuoso,1,05,construct_base,q001,4,0.09225997887551785,200
virtuoso,1,05,construct_base,q002,4,0.09216193505562842,200
virtuoso,1,05,construct_base,q003,4,0.09613867895677686,200
virtuoso,1,05,construct_base,q004,4,0.09662652900442481,200
virtuoso,1,05,construct_base,q005,4,0.09515422093681991,200
virtuoso,1,05,construct_base,q006,4,0.09040102083235979,200
virtuoso,1,05,construct_base,q007,4,0.09305565105751157,200
virtuoso,1,05,construct_base,q008,4,0.09340760507620871,200
virtuoso,1,05,construct_base,q009,4,0.09541221801191568,200
virtuoso,1,05,construct_base,q010,4,0.09296020097099245,200
virtuoso,1,05,construct_base,q001,5,0.09909647097811103,200
virtuoso,1,05,construct_base,q002,5,0.09511318407021463,200
virtuoso,1,05,construct_base,q003,5,0.09323424892500043,200
virtuoso,1,05,construct_base,q004,5,0.09348723501898348,200
virtuoso,1,05,construct_base,q005,5,0.0947807258926332,200
virtuoso,1,05,construct_base,q006,5,0.09481723490171134,200
virtuoso,1,05,construct_base,q007,5,0.0952620948664844,200
virtuoso,1,05,construct_base,q008,5,0.09538021706975996,200
virtuoso,1,05,construct_base,q009,5,0.09375831694342196,200
virtuoso,1,05,construct_base,q010,5,0.09399402188137174,200
