engine,scale_factor,template,mode,query_id,repetition,time,status
virtuoso,1,19,construct_prov_naryrel,q001,1,0.5333979660645127,200
virtuoso,1,19,construct_prov_naryrel,q002,1,0.5504718890879303,200
virtuoso,1,19,construct_prov_naryrel,q003,1,0.5451295170933008,200
virtuoso,1,19,construct_prov_naryrel,q004,1,0.3853786669205874,200
virtuoso,1,19,construct_prov_naryrel,q005,1,0.5456436870153993,200
virtuoso,1,19,construct_prov_naryrel,q006,1,0.559722397942096,200
virtuoso,1,19,construct_prov_naryrel,q007,1,0.5456459620036185,200
virtuoso,1,19,construct_prov_naryrel,q008,1,0.3895100741647184,200
virtuoso,1,19,construct_prov_naryrel,q009,1,0.5584860439412296,200
virtuoso,1,19,construct_prov_naryrel,q010,1,0.527502880897373,200
virtuoso,1,19,construct_prov_naryrel,q001,2,0.5325473209377378,200
virtuoso,1,19,construct_prov_naryrel,q002,2,0.5387213719077408,200
virtuoso,1,19,construct_prov_naryrel,q003,2,0.5484596509486437,200
virtuoso,1,19,construct_prov_naryrel,q004,2,0.38303234800696373,200
virtuoso,1,19,construct_prov_naryrel,q005,2,0.5428291549906135,200
virtuoso,1,19,construct_prov_naryrel,q006,2,0.5492174020037055,200
virtuoso,1,19,construct_prov_naryrel,q007,2,0.5467847911641002,200
virtuoso,1,19,construct_prov_naryrel,q008,2,0.3896209979429841,200
virtuoso,1,19,construct_prov_naryrel,q009,2,0.5670807489659637,200
virtuoso,1,19,construct_prov_naryrel,q010,2,0.5589945060200989,200
virtuoso,1,19,construct_prov_naryrel,q001,3,0.5510019899811596,200
virtuoso,1,19,construct_prov_naryrel,q002,3,0.5400912461336702,200
virtuoso,1,19,construct_prov_naryrel,q003,3,0.5478412138763815,200
virtuoso,1,19,construct_prov_naryrel,q004,3,0.379247197881341,200
virtuoso,1,19,construct_prov_naryrel,q005,3,0.536917305085808,200
virtuoso,1,19,construct_prov_naryrel,q006,3,0.5673482229467481,200
virtuoso,1,19,construct_prov_naryrel,q007,3,0.5475760928820819,200
virtuoso,1,19,construct_prov_naryrel,q008,3,0.3710265720728785,200
virtuoso,1,19,construct_prov_naryrel,q009,3,0.5567633539903909,200
virtuoso,1,19,construct_prov_naryrel,q010,3,0.5346013540402055,200
virtuoso,1,19,construct_prov_naryrel,q001,4,0.5444019320420921,200
virtuoso,1,19,construct_prov_naryrel,q002,4,0.5493790358304977,200
virtuoso,1,19,construct_prov_naryrel,q003,4,0.6459970900323242,200
virtuoso,1,19,construct_prov_naryrel,q004,4,0.3889010490383953,200
virtuoso,1,19,construct_prov_naryrel,q005,4,0.5476492110174149,200
virtuoso,1,19,construct_prov_naryrel,q006,4,0.5587120910640806,200
virtuoso,1,19,construct_prov_naryrel,q007,4,0.5401618981268257,200
virtuoso,1,19,construct_prov_naryrel,q008,4,0.3784723950084299,200
virtuoso,1,19,construct_prov_naryrel,q009,4,0.5645943239796907,200
virtuoso,1,19,construct_prov_naryrel,q010,4,0.5388031438924372,200
virtuoso,1,19,construct_prov_naryrel,q001,5,0.5429970598779619,200
virtuoso,1,19,construct_prov_naryrel,q002,5,0.541002033976838,200
virtuoso,1,19,construct_prov_naryrel,q003,5,0.5523190840613097,200
virtuoso,1,19,construct_prov_naryrel,q004,5,0.3926346548832953,200
virtuoso,1,19,construct_prov_naryrel,q005,5,0.5479176470544189,200
virtuoso,1,19,construct_prov_naryrel,q006,5,0.5608507578726858,200
virtuoso,1,19,construct_prov_naryrel,q007,5,0.5381196329835802,200
virtuoso,1,19,construct_prov_naryrel,q008,5,0.38095295592211187,200
virtuoso,1,19,construct_prov_naryrel,q009,5,0.5536028668284416,200
virtuoso,1,19,construct_prov_naryrel,q010,5,0.5284065899904817,200
