engine,scale_factor,template,mode,query_id,repetition,time,status
virtuoso,10,10,base_non_aggregate,q001,1,100.99513708008453,200
virtuoso,10,10,base_non_aggregate,q002,1,100.63105863705277,200
virtuoso,10,10,base_non_aggregate,q003,1,100.92786035710014,200
virtuoso,10,10,base_non_aggregate,q004,1,101.18179877102375,200
virtuoso,10,10,base_non_aggregate,q005,1,101.28382378909737,200
virtuoso,10,10,base_non_aggregate,q006,1,101.840457377024,200
virtuoso,10,10,base_non_aggregate,q007,1,102.05620102095418,200
virtuoso,10,10,base_non_aggregate,q008,1,101.4674221421592,200
virtuoso,10,10,base_non_aggregate,q009,1,101.66080233920366,200
virtuoso,10,10,base_non_aggregate,q010,1,101.5966808910016,200
virtuoso,10,10,base_non_aggregate,q001,2,100.7568151219748,200
virtuoso,10,10,base_non_aggregate,q002,2,100.94932075380348,200
virtuoso,10,10,base_non_aggregate,q003,2,101.27301008603536,200
virtuoso,10,10,base_non_aggregate,q004,2,100.84660856286064,200
virtuoso,10,10,base_non_aggregate,q005,2,100.42996332910843,200
virtuoso,10,10,base_non_aggregate,q006,2,100.75239766505547,200
virtuoso,10,10,base_non_aggregate,q007,2,101.5125243680086,200
virtuoso,10,10,base_non_aggregate,q008,2,102.41994099901058,200
virtuoso,10,10,base_non_aggregate,q009,2,100.59316148911603,200
virtuoso,10,10,base_non_aggregate,q010,2,101.39578758203425,200
virtuoso,10,10,base_non_aggregate,q001,3,100.89548072591424,200
virtuoso,10,10,base_non_aggregate,q002,3,101.02864098595455,200
virtuoso,10,10,base_non_aggregate,q003,3,101.87214134493843,200
virtuoso,10,10,base_non_aggregate,q004,3,101.32463281601667,200
virtuoso,10,10,base_non_aggregate,q005,3,101.04462598008104,200
virtuoso,10,10,base_non_aggregate,q006,3,100.61247913585976,200
virtuoso,10,10,base_non_aggregate,q007,3,101.28614947013557,200
virtuoso,10,10,base_non_aggregate,q008,3,101.31533086881973,200
virtuoso,10,10,base_non_aggregate,q009,3,101.44395858584903,200
virtuoso,10,10,base_non_aggregate,q010,3,101.21922530815937,200
virtuoso,10,10,base_non_aggregate,q001,4,101.41540543409064,200
virtuoso,10,10,base_non_aggregate,q002,4,100.60198336304165,200
virtuoso,10,10,base_non_aggregate,q003,4,100.66808046400547,200
virtuoso,10,10,base_non_aggregate,q004,4,100.86736065801233,200
virtuoso,10,10,base_non_aggregate,q005,4,100.25789712718688,200
virtuoso,10,10,base_non_aggregate,q006,4,100.98453766806051,200
virtuoso,10,10,base_non_aggregate,q007,4,101.80785598186776,200
virtuoso,10,10,base_non_aggregate,q008,4,101.47820548689924,200
virtuoso,10,10,base_non_aggregate,q009,4,100.99269899888895,200
virtuoso,10,10,base_non_aggregate,q010,4,101.8124923161231,200
virtuoso,10,10,base_non_aggregate,q001,5,100.8321178110782,200
virtuoso,10,10,base_non_aggregate,q002,5,100.97406015894376,200
virtuoso,10,10,base_non_aggregate,q003,5,101.55860819597729,200
virtuoso,10,10,base_non_aggregate,q004,5,100.9014176800847,200
virtuoso,10,10,base_non_aggregate,q005,5,101.00558630097657,200
virtuoso,10,10,base_non_aggregate,q006,5,102.23251440003514,200
virtuoso,10,10,base_non_aggregate,q007,5,101.04733547312208,200
virtuoso,10,10,base_non_aggregate,q008,5,102.06410968210548,200
virtuoso,10,10,base_non_aggregate,q009,5,102.14922509295866,200
virtuoso,10,10,base_non_aggregate,q010,5,102.28785418905318,200
